,서비스아이디,서비스명,서비스URL,서비스요약,사이트,대표문의,소관부처명,소관조직명,기준년도,최종수정일,지원대상,지원내용,신청방법
0,1,(독립유공자등)단순수훈유족생계부조금(제수비 포함),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=1,독립유공자의 가족에게 유족생계비와 제수비를 지원합니다.,국가보훈처 나라사랑정책과 www.mpva.go.kr 국가보훈처 상담센터 www.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,선양정책과,2018,2018-03-05,"
최초 등록 당시 독립유공자의 유족 범위에 포함되지 않아 보상금을 받지 못하고 기금에서 생계부조금을 지원받던 대상자 중 1980년 법 개정에 따른 보상금 지원대상에도 해당하지 않은 독립유공자의 며느리, (증)손자며느리, (증)손자녀 등에게 생계부조금을 계속 지원합니다.
독립유공자 유족으로 등록된 수권유족에게 제수비를 지원합니다(단, 수권자가 제사 주관자에게 지급토록 요청한 경우에는 제사 주관자에게 지급).
		※ 국적상실자는 제외
","
생계부조금은 7만8,000원~9만원으로, 연 2회 지급합니다.
제수비는 연 1회, 30만원을 지급합니다.
","
지방 보훈관서에 방문하거나 전화, 인터넷 등으로 신청합니다.

다음과 같은 순서로 지원합니다.

1 사실조사 및 심사 
지방보훈관서에서 신청한 내용을 조사하고 심사

2 서비스 결정 
지방보훈관서에서 서비스를 결정

3 서비스 제공 
지방보훈관서가 서비스를 제공

"
1,18,(특수교육대상자) 치료지원서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=18,효과적인 교육을 위해 특수교육대상자의 다양한 치료를 지원합니다.,,교육부 민원콜센터 02-6222-6060,교육부,특수교육정책과,2018,2018-02-23,"
특수교육대상자 중 치료지원대상자를 지원합니다.

특수교육대상자가 치료지원을 희망하면, 진단 평가를 실시하여 치료지원대상자를 선정합니다.
","
치료사 채용, 바우처, 치료지원 제공기관(병·의원, 장애인복지관, 사설치료실 등)을 통해 물리치료, 작업치료 등의 서비스를 제공합니다.
","
시/도 교육청에 신청합니다.

다음과 같은 순서로 지원합니다.

1 초기상담 및
		서비스 신청 
시/도교육청에서 특수교육대상자 치료지원 서비스를 상담하고 서비스 신청

2 사실조사 및 심사 
시/도교육청에서 사실을 확인하고 자격여부를 심사

3 서비스 결정 
시/도교육청에서 서비스를 결정

4 서비스 제공 
시/도교육청에서 해당 서비스를 제공

"
2,266,6.25자녀수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=266,6.25 전쟁 중 전사하거나 순직한 전몰군경 혹은 순직군경 자녀의 생활안정과 복지향상을 위하여 수당을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2019,2019-01-22,"
1954년 10월 25일 이전(1950년 6월 25일 이전 사망자 포함)에 전사했거나 순직한 군경과 1954년 10월 25일~1955년 6월 30일 사이 서남지구 전투경찰대 소속으로 참전하여 전사했거나 순직한 자의 자녀 중에서 국가유공자법 제 13조의 규정에 의한 보상금 지급순위가 선순위인 자 1인에게 수당을 지급합니다.

보훈심사위원회에서 국가유공자 요건 해당여부를 심사 및 의결하여 전몰군경을 선정합니다.
","
전몰 또는 순직군경의 유족이 보상금을 전혀받지 않았거나, 전몰 또는 순직군경의 미성년 자녀가 보상금을 받다가 성년이 되어 보상금 수급권이 소멸한 경우에는 1,347,000원(위로가산금 8만원 추가)을 지원합니다.
전몰 또는 순직군경의 유족 중 미성년 자녀를 제외한 유족이 보상금을 받다가 1997년 12월 31일 이전에 보상금 수급권이 소멸한 경우에는 1,146,000원을 지원합니다.
전몰 또는 순직군경의 유족 중 미성년 자녀를 제외한 유족이 보상금을 받다가 1998년 1월 1일 이후에 보상금 수급권이 소멸한 경우에는 270,000원(추가지원금* 114,000원)을 지원합니다.
		* 시행령 제25조에 따라 국가보훈처장이 정하여 고시하는 기준에 해당하는 사람에 대해서만 지급
","
주소지 관할 보훈(지)청 또는 제주보훈청을 방문하거나 우편으로 신청합니다.

다음과 같은 순서로 지원합니다.

1 보훈대상 등록신청 
보훈(지)청에 보훈대상 등록을 신청

2 보훈심사•결정 
보훈심사위원회에서 보훈대상여부를 심사하고 결정

3 보훈급여 신청 
보훈(지)청에서 보훈급여를 신청

4 지원대상여부 확인 
보훈(지)청에서 지원 대상인지의 여부를 확인


5 보훈급여 지급 
보훈(지)청에서 보훈급여를 지급

"
3,95,60세이상고령자고용지원금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=95,"60세 이상 고령자를 고용하여 대상자는 활력있는 노후생활을 보낼 수 있고, 사업주는 안정감 있는 경제활동을 할 수 있습니다.(2020년 12월 31일까지 한시적으로 운영되는 사업)",고용센터 www.ei.go.kr,고용센터 1350,고용노동부,고령사회인력정책과,2019,2019-03-21,"
60세 이상 근로자를 업종별로 일정비율 이상 고용한 사업주에게 지원합니다.

정년이 없는 사업장에서 전체 근로자 중 1년이상 근로한 60세 이상 근로자 지원기준율을 초과 고용한 경우에 지원합니다.
		※단, 일자리안정자금 지급대상은 제외
","
지원기준율을 초과한 60세 이상 근로자 1명당 분기별로 30만원을 지원합니다.(2020년까지 한시 지급)
","
사업주가 고용센터에 직접 신청합니다.

다음과 같은 순서로 지원합니다.

1 초기상담 및
		서비스 신청 
고용센터에서 상담하고 서비스 신청

2 사실조사 및 심사 
고용센터에서 사실을 조사하고 심사

3 서비스 결정 
고용센터에서 서비스 여부를 결정

4 서비스 제공 
고용센터에서 서비스를 제공

"
4,19,WEE 클래스 상담지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=19,학교부적응 학생 및 위기군 학생에 대한 상담활동을 통하여 학교 부적응 조기 진단 및 치유를 목적으로 합니다.,학생안전통합시스템 www.wee.go.kr,"학교안전통합시스템 02)2057-8701~7, 8746",교육부,학교생활문화과,2019,2019-03-21,"
학습부진, 학교폭력, 대인관계 미숙 등으로 인한 학교부적응 학생 및 위기학생, 일반학생이 지원대상입니다.

학교부적응 학생 및 위기군 학생으로 상담 및 교육활동이 필요한 학생을 지원합니다.
","
해당 학생에게 필요한 진단, 상담, 치유 프로그램을 제공합니다.
","
초등학교, 중학교, 고등학교의 학교상담실로 방문하여 서비스를 신청합니다.

다음과 같은 순서로 지원합니다.

1 초기상담 및
		서비스 신청 
초등학교, 중학교, 고등학교의 학교상담실에서 초기상담 및 서비스 신청을 진행

"
5,295,가정양육수당 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=295,"가정에서 아이를 돌보는 가정 양육 시, 부모의 자녀 양육에 대한 부담을 경감하고 보육 서비스 선택권을 보장합니다.",보건복지부 http://www.mohw.go.kr 복지로 http://www.bokjiro.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,보육사업기획과,2019,2019-03-26,"
소득수준에 관계 없이 어린이집, 유치원(특수학교 포함), 종일제 아이돌봄 서비스 지원을 받지 않고, 가정에서 영유아(초등학교 미취학인 최대 86개월 미만 아동)를 돌보는 경우에 지원합니다.
		
대한민국 국적을 가진 자로, 주민등록법에 의해 주민등록번호를 발급 받은 아동에게 지원합니다.
			※단, 재외국민아동은 국내 30일 이상 거주할 목적으로 재외국민 주민등록을 마친 경우 지원 가능
자녀의 보육상황(가정양육↔어린이집↔유치원)에 따라 서비스 변경신청이 필요합니다.
초등학교 취학년도 2월까지(최대 86개월 미만) 지원합니다.


","
양육수당은 아동의 월령에 따라 차등 지급합니다.
		
12개월 미만: 200,000원 지원
12개월 이상 23개월: 150,000원 지원
24개월 이상 86개월 미만(취학전): 100,000원 지원


장애아동 양육수당은 장애아동의 월령에 따라 차등 지급합니다.
		
36개월 미만 : 200,000원 지원
36개월 이상 86개월 미만(취학전) : 100,000원 지원


농어촌 양육수당은 농어촌에 살고 있는 아동의 월령에 따라 차등 지급합니다.
		
12개월 미만: 200,000원 지원
12개월 이상 23개월: 177,000원 지원
24개월 이상 35개월: 156,000원 지원
36개월 이상 47개월: 129,000원 지원
48개월 이상 86개월 미만(취학전): 100,000원 지원


아동이 해외에 90일 이상 체류하는 경우에는 영유아보육법에 따라 지원이 정지됩니다.
","
등록지 읍/면/동 주민센터에 방문하거나 복지로에서 온라인신청(online.bokjiro.go.kr)이 가능 합니다.

다음과 같은 순서로 지원 합니다.

1 초기상담 및
		서비스 신청 
읍/면/동 주민센터에 상담하고 서비스 신청

2 대상자 통합조사
		및 신청 
시/군/구청에서 대상자를 조사하고 선정

3 서비스 지원 
가정양육수당을 지원

"
6,25,가정위탁아동 상해보험료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=25,"가정위탁보호아동의 예상치 못한 질병과 안전사고에 대비해, 상해보험 가입 시 상해보험료를 지원함으로써 위탁가정의 심리적, 경제적 부담을 완화하고 가정위탁사업의 활성화를 도모합니다.",,가정위탁지원센터 1577-1406,보건복지부,아동권리과,2019,2019-05-08,"
가정위탁보호아동으로 결정된 아동, 연장보호아동, 일시위탁아동을 대상으로 지원합니다.
","
상해보험 단체 가입을 통해 입원 및 통원 의료비 등을 지원합니다.
보험담보는 위탁아동 및 부양자 1인의 후유장해, 위탁아동 입원, 통원 의료비 등을 지원합니다.
보험료는 1인당 연 68,500원 이내로 지원합니다.
","
다음과 같은 순서로 지원합니다.

1 사실조사 및 심사 
시/도에서 사실조사 및 심사

2 서비스 결정 
시/도에서 대상자 결정

3 서비스 제공 
시/도에서 서비스 제공

"
7,168,가정폭력·성폭력 피해자 무료법률지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=168,가정폭력과 성폭력으로 고통 받는 남성과 여성 그리고 아동 청소년의 법률적 문제를 돕습니다.,대한법률구조공단 http://www.klac.or.kr/ 한국가정법률상담소 http://www.lawhome.or.kr/law1/index.asp 대한변협법률구조재단 http://www.legalaid.or.kr/index2.php (사)한국성폭력위기센터  www.rape119.or.kr,대한법률구조공단 콜센터 132,여성가족부,권익보호과,2019,2019-02-07,"
가정폭력 및 성폭력 피해자(외국인 등록여부와 상관없이 국내 거주 외국인 여성 포함), 스토킹·데이트폭력 피해자를 지원합니다.

가정폭력, 성폭력 등의 피해와 관련된 민사, 가사, 형사 사건 등에 대해 다음과 같은 입증자료(1개 이상)로 상담 및 법률 구조를 받을 수 있습니다.
		※ 대한법률구조공단의 경우, 법률구조대상자는 기준 중위소득 125%이하므로, 기준 중위소득 125%임을 소명하기 위한 주민등록표 등본, 건강보험료 납부확인서 등을 추가 제출

가정폭력, 성폭력 등 피해상담 사실확인서
진단서(폭력임을 증명할 수 있는 2주 이상의 상해진단서, 진단서 또는 소견서)
고소장 사본 및 수사기관에서 발행한 고소장 접수증명서


","
가정폭력 및 성폭력 등의 피해에 대하여 상담을 통해 빠른 지원과 구조의 방법을 찾을 수 있도록 돕습니다.
소송, 소송장 작성, 화해 등 법률 구조를 돕습니다.
구조비가 1인당 500만원을 초과할 경우, 여성가족부, 시설 관계자, 법률전문가 등으로 구성된 심사위원회에서 추가 지급 여부를 결정합니다.
피해자가 외국인 또는 장애인일 경우에는 배정된 사업비 범위 내에서 통역비(수화통역 포함)를 지원합니다.
","
대한법률구조공단, 한국가정법률상담소, 대한변협법률구조재단, 한국성폭력위기센터를 방문하거나 전화, 우편, 인터넷으로 신청합니다.

다음과 같은 순서로 지원합니다.

1 서비스 신청 
대한법률구조공단, 한국가정법률상담소, 대한변협법률구조재단, 한국성폭력위기센터에 서비스 신청

2 사실조사 및 심사 
대한법률구조공단, 한국가정법률상담소, 대한변협법률구조재단, 한국성폭력위기센터에서 사실을 조사하고 지원을 결정

3 서비스 실시 
대한법률구조공단, 한국가정법률상담소 등에서 법률구조 서비스를 실시

"
8,148,가정폭력상담소 운영지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=148,"가정폭력의 피해자를 상담하고, 피해자를 임시보호하며, 의료기관, 법률기관, 피해자 보호시설로 인도합니다.",,여성긴급전화 1366,여성가족부,권익보호과,2019,2019-02-07,"
가정폭력, 스토킹·데이트폭력 피해자와 그 가족을 지원합니다.
","
가정폭력, 스토킹·데이트폭력 피해자를 상담하고, 피해자를 임시보호하며, 법률·의료 서비스 등을 연계합니다.
","
전국 가정폭력상담소를 방문하거나 전화로 신청합니다.

다음과 같은 순서로 지원합니다.

1 초기상담 및
		서비스 신청 
가정폭력상담소를 방문하거나 전화로 상담하고, 서비스 신청

2 사실조사 및 심사 
가정폭력상담소에서 폭력 사실을 조사하고 심사

3 서비스 결정 
가정폭력상담소에서 지원 가능여부를 결정

4 서비스 제공 
가정폭력상담소에서 서비스 제공

"
9,149,가정폭력피해자 치료회복 프로그램 및 의료비지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=149,가정폭력으로 상처받은 몸과 마음을 치료하고 회복하기 위한 프로그램과 의료비를 지원합니다.,,여성긴급전화 1366,여성가족부,권익보호과,2019,2019-02-07,"
가정폭력을 당한 피해자 및 동반아동을 지원합니다.
","
치료회복 프로그램을 지원합니다.
		
가정폭력 피해자의 심리적 안정을 위한 전문 상담
폭행으로 상처 받은 몸과 마음을 회복하기 위한 개별상담, 집단상담, 미술치료, 음악치료, 부부상담, 심신회복캠프, 문화체험 등 정신 및 심리 치료·회복 프로그램 운영


의료비를 지원합니다.
		
치료비용 본인부담액, 건강보험 또는 의료급여가 적용되지 않는 진료비용 지원
상담 및 지도, 신체적 정신적 피해에 대한 치료 지원
임산부의 심리적 안정을 위한 각종 치료 프로그램의 실시 등 정신 치료 지원
임산부 및 태아 보호를 위한 검사와 치료 지원
가정폭력 피해자 가정의 신생아와 관련된 의료 지원
진단서 발급비용 지원
보호시설 입소자의 건강검진비 지원
출산진료비 지원


","
전국 가정폭력 상담소, 보호시설, 1366센터, 해바라기 센터를 방문하거나 전화로 신청합니다.

다음과 같은 순서로 지원합니다.

1 초기상담 및
		서비스 신청 
보호시설, 상담소, 센터에 가정폭력 사실을 상담하고, 서비스 신청

2 사실조사 및 심사 
보호시설, 상담소, 센터에서 사실을 조사하고 심사

3 서비스 결정 
보호시설, 상담소, 센터에서 지원 결정

4 서비스 제공 
보호시설, 상담소, 센터에서 서비스 제공

"
